"","accuracy","heading","latitude","longitude","speed","timestamp"
"147",3.9,95,39.9883078,-83.0354345,4.66,1516231958
"148",3.9,73,39.988317,-83.0353785,3.94,1516231959
"149",3.9,99,39.9883117,-83.035321,4.23,1516231960
"150",3.9,98,39.9883008,-83.0352757,3.52,1516231961
"151",9,90,39.9882949,-83.0352281,3.6,1516231962
"152",9,94,39.9882885,-83.0351705,5.05,1516231963
"153",9,91,39.9882942,-83.0350965,5.3,1516231964
"154",9,93,39.9882886,-83.0350406,5.28,1516231965
"155",9,93,39.9882826,-83.0349727,5.61,1516231966
"156",9,93,39.9882736,-83.0349147,5.4,1516231967
"157",9,93,39.9882669,-83.0348516,5.28,1516231968
"158",9,93,39.9882722,-83.0347893,5.12,1516231969
"159",9,95,39.988271,-83.0347309,5.24,1516231970
"160",9,91,39.9882722,-83.0346748,5.17,1516231971
"161",9,92,39.9882645,-83.0346122,5.04,1516231972
"162",9,92,39.9882602,-83.0345542,4.92,1516231973
"163",9,93,39.9882586,-83.0344924,4.81,1516231974
"164",9,94,39.9882564,-83.0344465,3.78,1516231975
"165",9,94,39.9882577,-83.0344177,2.68,1516231976
"166",9,94,39.9882564,-83.0343983,1.99,1516231977
"167",9,94,39.9882547,-83.0343671,2.48,1516231978
"168",3.9,94,39.988257,-83.0343691,0.88,1516231979
"169",3.9,94,39.9882579,-83.0343566,0.89,1516231980
"170",3.9,94,39.9882521,-83.0343488,0.75,1516231981
"171",3.9,94,39.9882524,-83.0343352,1,1516231982
"172",3.9,94,39.9882503,-83.0343196,1.43,1516231983
"173",3.9,94,39.9882478,-83.0342995,1.75,1516231984
"174",3.9,94,39.9882454,-83.0342696,2.84,1516231985
"175",3.9,95,39.9882431,-83.0342304,3.35,1516231986
"176",3.9,94,39.9882433,-83.034146,5.17,1516231987
"177",3.9,94,39.9882406,-83.0340863,5.25,1516231988
"178",3.9,94,39.9882311,-83.0340288,5.19,1516231989
"179",3.9,93,39.9882283,-83.0339753,4.38,1516231990
"180",3.9,93,39.988228,-83.0339381,3.39,1516231991
